geometry_type,coord_x,coord_y,feature_type,cdns,certs_BREAAM,certs_EUcoc,certs_LEED,certs_Other,certs_UT_cert,certs_UT_level,clouds,company_name,construction_date,country,fibres,gross_max_power,id,ixps,m2,name,networks,readyForService,readyForService_dt,construction_date_dt,readyForService_dmy,construction_date_dmy
Point,2.2393221,48.7747563,Feature,[],,,,,,,[],Cloudata,,France,[],,06cf8366-b62b-11e5-ad0b-02b4d6763261,[],,Le Plessis Robinson,[],,,,,
Point,3.146128,50.6400737,Feature,[],,,,,,,[],ATE,,France,[],,07901467-b62b-11e5-ad0b-02b4d6763261,[],,ATE01,[],,,,,
Point,2.2246339,48.8704095,Feature,[],,,,,,,[],Green Data Center,,France,[],,070efd6b-b62b-11e5-ad0b-02b4d6763261,[],,Suresnes,[],,,,,
Point,7.0316606,43.6243482,Feature,[],,,,,,,[],Euclyde Data Centers,,France,[],0.0,0707d177-b62b-11e5-ad0b-02b4d6763261,[],1000.0,Sophia Antipolis - Valbonne,[],,,,,
Point,2.3967285,48.9089614,Feature,[],,,,,,,[],LDCOM,,France,[],,07437ae0-b62b-11e5-ad0b-02b4d6763261,[],,Aubervilliers,"[""Belgacom International Carrier Services""]",,,,,
Point,2.3961009,48.9096032,Feature,[],,,,,,,[],Completel,,France,[],,06cc7621-b62b-11e5-ad0b-02b4d6763261,[],,Aubervilliers,[],,,,,
Point,2.3680883,48.9068351,Feature,[],,,,,,,[],Interoute,,France,[],,069d9e02-b62b-11e5-ad0b-02b4d6763261,[],,Aubervilliers,[],,,,,
Point,2.35078454,48.92715185,Feature,[],,,,,,,[],Equinix,,France,[],12000.0,078c43cc-b62b-11e5-ad0b-02b4d6763261,[],6692.0,Paris 3,"[""Oxalide"", ""KEYYO"", ""Belgacom International Carrier Services""]",,,,,
Point,2.2212427,48.8978688,Feature,[],,,,,,,[],Defense Datacenter,,France,[],,069efd80-b62b-11e5-ad0b-02b4d6763261,[],,Nanterre,[],,,,,
Point,2.3182735,48.8700031,Feature,[],,,,,0,1,[],Claranet,,France,[],,074f61c1-b62b-11e5-ad0b-02b4d6763261,[],,Paris (rue du Faubourg Saint Honoré),[],,,,,
Point,2.369002,48.853082,Feature,[],,,,,0,1,[],IELO / Lost Oasis,,France,[],,07865041-b62b-11e5-ad0b-02b4d6763261,[],,Paris,"[""Viatel""]",,,,,
Point,2.3440659,48.869673,Feature,[],,,,,0,1,[],Telehouse,,France,[],,06a0ab35-b62b-11e5-ad0b-02b4d6763261,"[""PARIX"", ""PaNAP"", ""FreeIX"", ""FranceIX""]",,Paris Jeûneurs,"[""Yacast Media"", ""Viatel"", ""TrueServer B.V."", ""Telecom Italia Sparkle"", ""TATA Communications Ltd"", ""OVH"", ""Neuf Cegetel/SFR"", ""Nerim"", ""NeoTelecoms SAS"", ""MTN International Carrier Services"", ""KPN"", ""Jaguar Network"", ""Internet-Fr"", ""Google Inc."", ""Gandi"", ""Free SAS"", ""France Telecom"", ""Cogent Communications, Inc."", ""CMC Networks"", ""Claranet"", ""BSO Communication SAS"", ""Bouygues Telecom ISP"", ""Belgacom International Carrier Services""]",,,,,
